accept_message.txt;Message Accepted to, <!-- tmpl_var list_settings.list_name -->, subject, <!-- tmpl_var message_subject -->;Nachricht an <!-- tmpl_var list_settings.list_name --> mit Betreff: <!-- tmpl_var message_subject --> wurde akzeptiert ;;;;
accept_message.txt;Message Accepted!;Nachricht akzeptiert!;;;;
accept_message.txt;Thanks for contributing!;Vielen Dank fürs Mittmachen!;;;;
accept_message.txt;Your recent message sent to;Ihre Nachricht an:;;;;
accept_message.txt;with the subject of,;mit dem Betreff:;;;;
accept_message.txt;has been accepted.;wurde akzeptiert.;;;;
admin_subscription_notice_message.txt;Subscribed <!-- tmpl_var subscriber.email -->;Neuer Abonnent: <!-- tmpl_var subscriber.email -->;;;;
admin_subscription_notice_message.txt;You've Gained a New Subscriber!;Sie haben einen neuen Abonnenten!;;;;
admin_subscription_notice_message.txt;has joined,;ist beigetreten:;;;;
admin_subscription_notice_message.txt;There are now a total of: <!-- tmpl_var num_subscribers --> subscriber(s).;Es gibt jetzt insgesamt <! - tmpl_var num_subscribers -> Abonnenten.;;;;
admin_subscription_notice_message.txt;Server Time:;Serverzeit:;;;;
admin_subscription_notice_message.txt;IP Logged:;IP-Adresse:;;;;
admin_subscription_notice_message.txt;Extra Subscriber Information:;Zusätzliche Abonnenteninformationen:;;;;
admin_subscription_notice_message.html;has joined:;ist beigetreten:;;;;
admin_subscription_notice_message.html;Extra Subscriber Information;Zusätzliche Abonnenteninformationen;;;;
admin_unsubscription_notice_message.txt;Unsubscribed <!-- tmpl_var subscriber.email -->;Abmeldung: <!-- tmpl_var subscriber.email -->;;;;
admin_unsubscription_notice_message.txt;Unsubscription.;Abmeldung:;;;;
admin_unsubscription_notice_message.txt;has been removed from:;wurde gelöscht aus:;;;;
admin_unsubscription_notice_message.txt;There are now a total of <!-- tmpl_var num_subscribers --> subscriber(s).;Es gibt jetzt insgesamt <! - tmpl_var num_subscribers -> Abonnenten.;;;;
admin_unsubscription_notice_message.txt;Server Time:;Serverzeit:;;;;
admin_unsubscription_notice_message.txt;IP Logged:;IP-Adresse:;;;;
await_moderation_msg.txt;Message to <!-- tmpl_var list_settings.list_name --> w/ Subject <!-- tmpl_var message_subject --> is awaiting approval.;Nachricht an <! - tmpl_var list_settings.list_name -> mit dem Betreff: <! - tmpl_var message_subject -> wartet auf Genehmigung;;;;
await_moderation_msg.txt;Awaiting Approval;Warten auf Genehmigung;;;;
await_moderation_msg.txt;Thanks for contributing! Your recent message to;Vielen Dank fürs Mittmachen! Ihre E-Mail an;;;;
await_moderation_msg.txt;with the subject of;mit dem Betreff: ;;;;
await_moderation_msg.txt;will need to be approved before being sent out to the mailing list.;muss genehmigt werden, bevor sie durch die Mailing-Liste verteilt werden kann.;;;;
await_moderation_msg.html;with the subject of;mit dem Betreff:;;;;
await_moderation_msg.html;Your recent message to <!-- tmpl_var list_settings.list_name --> with the subject of;Ihre Nachricht <!-- tmpl_var list_settings.list_name --> mit dem Betreff:;;;;
confirmation_message.txt;Subscriber;Abonnent;;;;
confirmation_message.txt;Owner;Inhaber;;;;
confirmation_message.txt;Confirmation is a click away!;Die Bestätigung ist nur ein Klick entfernt!;;;;
confirmation_message.txt;Mailing List Subscription Confirmation;Abonnentbestätigung für Mailing-Liste;;;;
confirmation_message.txt;Ready to Join,;Bereit zum Beitritt zu:;;;;
confirmation_message.txt;Click Here to Confirm Your Subscription:;Klicken Sie hier, um Ihr Abonnement zu bestätigen:;;;;
confirmation_message.txt;Your privacy is important:;Ihre Privatsphäre ist uns wichtig:;;;;
